"City_locality","iso3","country","super_region","super_region_name","pm25","sat_2014","log_pm25","log_sat","cluster_region"
"Not in a City,Delaware,IA","USA","United States of America",1,"HighIncome",9,8.50650024414062,2.19722457733622,2.14083060584053,2
"Not in a City,Dunn,ND","USA","United States of America",1,"HighIncome",4,4.11949920654297,1.38629436111989,1.41573160416346,2
"Not in a City,Essex,NY","USA","United States of America",1,"HighIncome",4,5.58899974822998,1.38629436111989,1.72080033524014,2
"Not in a City,Fergus,MT","USA","United States of America",1,"HighIncome",4,3.47149991989136,1.38629436111989,1.2445867541351,2
"Not in a City,Hancock,ME","USA","United States of America",1,"HighIncome",4,5.60099840164185,1.38629436111989,1.72294486785751,2
"Not in a City,Jackson,NC","USA","United States of America",1,"HighIncome",7,6.27450132369995,1.94591014905531,1.83649401153321,2
"Not in a City,Jackson,SD","USA","United States of America",1,"HighIncome",4,4.88300037384033,1.38629436111989,1.58575986163908,2
"Not in a City,Kent,MD","USA","United States of America",1,"HighIncome",8,9.48050022125244,2.07944154167984,2.24923708082976,2
"Not in a City,Lake,MN","USA","United States of America",1,"HighIncome",4,4.43849992752075,1.38629436111989,1.49031646519657,2
"Not in a City,Lemhi,ID","USA","United States of America",1,"HighIncome",13,2.81199932098389,2.56494935746154,1.03389573247751,2
"Not in a City,McKenzie,ND","USA","United States of America",1,"HighIncome",3,4.09299945831299,1.09861228866811,1.40927806516552,2
"Not in a City,Mercer,ND","USA","United States of America",1,"HighIncome",5,4.30349969863892,1.6094379124341,1.45942857508042,2
"Not in a City,Montgomery,IA","USA","United States of America",1,"HighIncome",8,7.2080020904541,2.07944154167984,1.9751918103246,2
"Not in a City,Neosho,KS","USA","United States of America",1,"HighIncome",10,7.5984992980957,2.30258509299405,2.02795076701746,2
"Not in a City,Oliver,ND","USA","United States of America",1,"HighIncome",5,4.28900003433228,1.6094379124341,1.45605361353947,2
"Not in a City,Page,VA","USA","United States of America",1,"HighIncome",8,6.82799911499023,2.07944154167984,1.9210316753174,2
"Not in a City,Phillips,MT","USA","United States of America",1,"HighIncome",4,3.65050053596497,1.38629436111989,1.2948642913336,2
"Not in a City,Powder River,MT","USA","United States of America",1,"HighIncome",6,3.88550090789795,1.79175946922805,1.35725190933023,2
"Not in a City,Richland,MT","USA","United States of America",1,"HighIncome",7,3.8175003528595,1.94591014905531,1.33959585054273,2
"Not in a City,Rosebud,MT","USA","United States of America",1,"HighIncome",6,3.82350039482117,1.79175946922805,1.34116633676385,2
"Not in a City,Sublette,WY","USA","United States of America",1,"HighIncome",5,3.8585000038147,1.6094379124341,1.35027850790417,2
"Not in a City,Van Buren,IA","USA","United States of America",1,"HighIncome",9,7.47799730300903,2.19722457733622,2.01196501589813,2
"NOTRE-DAME-DE-BLIQUETUIT","FRA","France",1,"HighIncome",10,13.1840019226074,2.30258509299405,2.57900411899594,2
"NOTRE-DAME-DU-ROSAIRE","CAN","Canada",1,"HighIncome",5,3.91899847984314,1.6094379124341,1.36583613132335,2
"NOTTINGHAM","GBR","United Kingdom",1,"HighIncome",12,11.8269996643066,2.484906649788,2.47038502488534,2
"NOVA GORICA","SVN","Slovenia",4,"E-Eur/C-Eur/C-Asia",17,18.1919994354248,2.83321334405622,2.90098190597392,2
"NOVARA","ITA","Italy",1,"HighIncome",20.5,30.2959976196289,3.02042488614436,3.41101561202902,2
"NOVI SAD","SRB","Serbia",4,"E-Eur/C-Eur/C-Asia",20,25.2024955749512,2.99573227355399,3.22694302036619,2
"NOVO MESTO","SVN","Slovenia",4,"E-Eur/C-Eur/C-Asia",21,16.036003112793,3.04452243772342,2.77483638889305,2
"NOWA RUDA","POL","Poland",4,"E-Eur/C-Eur/C-Asia",35,20.3619918823242,3.55534806148941,3.01367002001702,4
"NOWY SACZ","POL","Poland",4,"E-Eur/C-Eur/C-Asia",36,18.962495803833,3.58351893845611,2.94246312338698,4
"NOWY TOMYSL","POL","Poland",4,"E-Eur/C-Eur/C-Asia",30,18.8519992828369,3.40119738166216,2.93661897101973,4
"Nsukka","NGA","Nigeria",7,"Sub-Saharan Afr",14,50.823486328125,2.63905732961526,3.92835857703698,4
"NUITS-SAINT-GEORGES","FRA","France",1,"HighIncome",12,14.4629983901978,2.484906649788,2.67159355278672,2
"NURAMINIS","ITA","Italy",1,"HighIncome",15,10.800498008728,2.70805020110221,2.37959224498631,2
"Ny´è_´è__regyh´è_´è__za","HUN","Hungary",4,"E-Eur/C-Eur/C-Asia",26,21.9035034179688,3.25809653802148,3.0866465974513,2
"Nyaung Oo","MMR","Myanmar",6,"SE-Asia/E-Asia/Oceania",51,27.7914943695068,3.93182563272433,3.32473001595051,3
"OAKVILLE","CAN","Canada",1,"HighIncome",8,8.94850063323975,2.07944154167984,2.19148599124023,2
"OBEJO","ESP","Spain",1,"HighIncome",7,9.95899868011475,1.94591014905531,2.29847653241759,2
"OBERRIED-HOFSGRUND","DEU","Germany",1,"HighIncome",7,16.4024982452393,1.94591014905531,2.79743365525559,2
"ODENSE","DNK","Denmark",1,"HighIncome",10,12.8599996566772,2.30258509299405,2.55412169211252,2
"ODOLO","ITA","Italy",1,"HighIncome",19,26.7880001068115,2.94443897916644,3.28795403003509,2
"Ogden-Clearfield, UT","USA","United States of America",1,"HighIncome",7.5,4.44224977493286,2.01490302054226,1.49116095417792,2
"Okayama city","JPN","Japan",1,"HighIncome",16.5,17.4599952697754,2.80336038090653,2.85991227949363,2
"Okinawa city","JPN","Japan",1,"HighIncome",15,9.19350528717041,2.70805020110221,2.21849728771035,2
"Oklahoma City, OK","USA","United States of America",1,"HighIncome",9,7.0467483997345,2.19722457733622,1.95256629053375,2
"OLAWA","POL","Poland",4,"E-Eur/C-Eur/C-Asia",25,21.4184913635254,3.2188758248682,3.06425463133124,4
"OLBIA","ITA","Italy",1,"HighIncome",13,12.449001789093,2.56494935746154,2.52164044211343,2
"Old Harbour Plains, St. Catherine","JAM","Jamaica",5,"LatAm/Carib",19,6.40283521016439,2.94443897916644,1.85674089385758,2
"OLESNICA","POL","Poland",4,"E-Eur/C-Eur/C-Asia",23,21.5214958190918,3.13549421592915,3.0690522412001,4
"OLESNO","POL","Poland",4,"E-Eur/C-Eur/C-Asia",30,22.7835006713867,3.40119738166216,3.12603661923216,4
"OLOMOUC-HEJCIN","CZE","Czech Republic",4,"E-Eur/C-Eur/C-Asia",25,20.806001663208,3.2188758248682,3.03524148658756,2
"OLSZTYN","POL","Poland",4,"E-Eur/C-Eur/C-Asia",16,20.7314968109131,2.77258872223978,3.03165412890196,4
"Omaha-Council Bluffs, NE-IA","USA","United States of America",1,"HighIncome",8.25,7.67787373065948,2.11021320034659,2.03834265084029,2
"ONDA","ESP","Spain",1,"HighIncome",8,11.9050025939941,2.07944154167984,2.47695869782995,2
"Onitsha","NGA","Nigeria",7,"Sub-Saharan Afr",66,49.3375015258789,4.18965474202643,3.89868447191633,4
"OOSTROZEBEKE","BEL","Belgium",1,"HighIncome",20,16.519495010376,2.99573227355399,2.80454119924643,2
"OPAVA","CZE","Czech Republic",4,"E-Eur/C-Eur/C-Asia",24,22.717004776001,3.17805383034795,3.12311375312013,2
"OPOCZNO","POL","Poland",4,"E-Eur/C-Eur/C-Asia",39,22.8855037689209,3.66356164612965,3.13050368692519,4
"OPOLE","POL","Poland",4,"E-Eur/C-Eur/C-Asia",22.5,22.4029960632324,3.11351530921037,3.10919470273976,4
"ORADEA","ROU","Romania",4,"E-Eur/C-Eur/C-Asia",16,22.2554988861084,2.77258872223978,3.10258911902665,2
"ORDES","ESP","Spain",1,"HighIncome",8,7.78849744796753,2.07944154167984,2.05264795911772,2
"ORDU","TUR","Turkey",2,"N-Afr/MidEast",32,15.265998840332,3.46573590279973,2.72562805741217,4
"Orlando-Kissimmee, FL","USA","United States of America",1,"HighIncome",6,7.14550065994263,1.79175946922805,1.9664828802975,2
"ORLEANS","FRA","France",1,"HighIncome",12,13.6194977760315,2.484906649788,2.61150242603501,2
